subno,slot,sub_name,prof
CE20006,G3,WATER RESOURCES ENGG.,VRD
CE20101,B3,INTRODUCTION TO CIVIL ENGG. & MATERIALS,BB
CE20103,E4,TRANSPORTATION ENGG.,MAR/SM
CE20105,F3,SURVEYING,NIL
CE21005,C4,SOLID MECHANICS,LSR/SJH
CE29003,N,TRANSPORTATION ENGG. LAB,BM/SM
CE29003,P,TRANSPORTATION ENGG. LAB,KKK
CE31001,C4,DESIGN OF RC STRUCTURE,AS
CE31003,B3,SOIL MECHANICS,PB
CE31005,E4,WATER AND W.W. ENGINEERING,MMG/SG
CE31216,D3,CONSTRUCTION PLANNING AND MANAGEMENT,SKB
CE31402,E3,ADVANCED FOUNDATION ENGINEERING,KD
CE31406,A3,GROUND IMPROVEMENT,DKB
CE39007,J,CONCRETE LABORATORY,BNB/PKP
CE39007,N,CONCRETE LABORATORY,LSR/DM
CE39007,P,CONCRETE LABORATORY,SC
CE39009,J,SOIL MECHANICS LABORATORY(I),DKB/DR/PB/DC
CE39009,N,SOIL MECHANICS LABORATORY(II),DKB/DR/PB/DC
CE39011,P,W & W.W. ENGINEERING LABORATORY,AP/MMG/SG/BKD
CE41003,V3,STRUCTURAL DYNAMICS & EARTHQUAKE ENGG.,DM
CE41021,G3,PAVEMENT MATERIALS,KKK
CE41601,B3,SOLID WASTE MANAGEMENT,SG/BKD
CE41627,D4,ADVANCED STRUCTURAL ANALYSIS,BNB 
CE41629,E4,THEORY OF ELASTICITY AND PLASTICITY,NM
CE49007,L,COMPUTER LABORATORY,ND/NM
CE51007,C3,STRUCTURAL OPTIMIZATION,SB
CE60001,D4,FREE SURFACE FLOW,SD
CE60005,C4,APPLIED HYDROLOGY,RM
CE60011,C4,PAVEMENT MATERIALS,KSR
CE60013,E4,URBAN TRANSPORTATION SYSTEMS PLANNING,BM
CE60021,C4,WATER SUPPLY SYSTEMS,AKG
CE60023,D4,WASTEWATER MANAGEMENT,MMG
CE60035,F4,MECHANICS OF SOILS,AS
CE60037,D4,STRENGTH AND DEFORMATION CHARACTERISTICS OF SOILS,DR
CE60041,E4,APPLIED ELASTICITY & PLASTICITY,NM
CE60043,D4,ADVANCED STRUCTURAL ANALYSIS,BNB 
CE60045,H3,DESIGN OF REINFORCED SOIL STRUCTURES,SKD
CE60061,B3,AIRPORT PLANNING AND DESIGN,MAR
CE60083,V3,STRUCTURAL DYNAMICS AND EARTHQUAKE ENGG.,DM
CE60113,G3,GEOHYDRAULICS,Adh
CE60115,F3,GEOMETRIC DESIGN OF TRANSPORTATION FACILITIES,SM
CE60123,A3,GROUND IMPROVEMENT,DKB
CE60125,B3,NUMERICAL METHODS IN STRUCTURAL ENGINEERING,AD
CE60127,C3,STRUCTURAL OPTIMIZATION,SB
CE60131,A3,ENVIRONMENTAL CHEMISTRY AND MICROBIOLOGY,AP
CE60135,B3,SOLID WASTE MANAGEMENT,SG/BKD
CE60137,G3,APPLIED SOIL MECHANICS,AS
CE60141,S3,HYDRAULIC STRUCTURES,DJS
CE61003,F4,BRIDGE ENGINEERING,ND
CE69003,J,HYDRAULIC AND WATER RESOURCES ENGG LAB,HPR
CE69005,P,COMPUTER APPLICATIONS IN FREE SURFACE FLOW AND APPLIED HYDROLOG,MSA
CE69007,X,TRANSPORTATION ENGINEERING LAB I,MAR
CE69013,L,PLANNING AND DESIGN OF ENV. ENGG. FACILITIES,AKG
CE69015,P,SOIL MECHANICS LABORATORY,SKD
CE69017,X,FOUNDATION ENGINEERING LABORATORY,KD
CE69019,X,STRUCTURAL LAB.-I,AD
CE69021,L,CAD LAB,ND/NM
CE69023,J,ENVIRONMENTAL LAB,AP
CE69091,L,CAD & VISUALISATION,ND/NM
